SampleID	reads_per_file	studyID	captive_wild	diet_category_3	country	host_phylum	host_class	host_order	host_family	host_genus	host_species
Mandrillus_leucophaeus	19365342.0	13114	captive	herbivore	USA	Chordata	Mammalia	Primates	Cercopithecidae	Mandrillus	Mandrillus_leucophaeus
Equus_burchellii	9585322.666666666	13114_13881	captive_wild	herbivore	Austria_Tanzania_USA	Chordata	Mammalia	Perissodactyla	Equidae	Equus	Equus_burchelliiEquus_burchellii_quagga
Loxodonta_africana	12552338.0	13114_13881	captive_wild	herbivore	Austria_SouthAfrica_USA	Chordata	Mammalia	Proboscidea	Elephantidae	Loxodonta	Loxodonta_africana_africanaLoxodonta_africana
Choloepus_hoffmanni	16566912.0	13114_13881	captive_wild	herbivore	Nicaragua_USA	Chordata	Mammalia	Pilosa	CholoepodidaeMegalonychidae	Choloepus	Choloepus_hoffmanni
Myrmecophaga_tridactyla	14361288.0	13114	captive	carnivore	USA	Chordata	Mammalia	Pilosa	Myrmecophagidae	Myrmecophaga	Myrmecophaga_tridactyla
Varanus_albigularis	23831112.0	13114	captive	carnivore	USA	Chordata	Reptilia	Squamata	Varanidae	Varanus	Varanus_albigularis
Aldabrachelys_gigantea	22735918.0	13114	captive	herbivore	USA	Chordata	Reptilia	Testudines	Testudinidae	Aldabrachelys	Aldabrachelys_gigantea
Pseudopus_apodus	25754842.0	13114	captive	carnivore	USA	Chordata	Reptilia	Squamata	Anguidae	Ophisaurus	Ophisaurus_apodus
Astrochelys_radiata	7055388.0	13114	captive	herbivore	USA	Chordata	Reptilia	Testudines	Testudinidae	Geochelone	Geochelone_radiata
Varanus_acanthurus	21399078.0	13114	captive	carnivore	USA	Chordata	Reptilia	Squamata	Varanidae	Varanus	Varanus_acanthurus_acanthurus
Pyxis_arachnoides	19726834.0	13114	captive	omnivore	USA	Chordata	Reptilia	Testudines	Testudinidae	Pyxis	Pyxis_arachnoides
Eunectes_murinus	24956634.0	13114	captive	carnivore	USA	Chordata	Reptilia	Squamata	Boidae	Eunectes	Eunectes_murinus
Alligator_mississippiensis	8338922.0	13114	captive	carnivore	USA	Chordata	Reptilia	Crocodilia	Alligatoridae	Alligator	Alligator_mississippiensis
Rhacodactylus_leachianus	26438122.0	13114	captive	omnivore	USA	Chordata	Reptilia	Squamata	Diplodactylidae	Rhacodactylus	Rhacodactylus_leachianus
Uroplatus_lineatus	22636556.0	13114	captive	carnivore	USA	Chordata	Reptilia	Squamata	Gekkonidae	Uroplatus	Uroplatus_lineatus
Crocodylus_rhombifer	23022388.0	13114	captive	carnivore	USA	Chordata	Reptilia	Crocodilia	Crocodylidae	Crocodylus	Crocodylus_rhombifer
Lepidobatrachus_laevis	22644308.0	13114	captive	carnivore	USA	Chordata	Amphibia	Anura	Ceratophyridae	Lepidobatrachus	Lepidobatrachus_asper
Cornufer_guentheri	7137112.0	13114	captive	carnivore	USA	Chordata	Amphibia	Anura	Ceratobatrachidae	Ceratobatrachus	Cornufer_guentheri
Pedostibes_hosii	23236318.0	13114	captive	carnivore	USA	Chordata	Amphibia	Anura	Bufonidae	Pedostibes	Pedostibes_hosii
Trachycephalus_resinifictrix	9180130.0	13114	captive	carnivore	USA	Chordata	Amphibia	Anura	Hylidae	Trachycephalus	Trachycephalus_resinifictrix
Rhyticeros_undulatus	19175798.0	13114	captive	omnivore	USA	Chordata	Aves	Bucerotiformes	Bucerotidae	Rhyticeros	Rhyticeros_undulatus
Chrysolophus_pictus	15089988.0	13114	captive	omnivore	USA	Chordata	Aves	Galliformes	Phasianidae	Chrysolophus	Chrysolophus_pictus
Ardeotis_kori	26749058.0	13114	captive	omnivore	USA	Chordata	Aves	Otidiformes	Otididae	Ardeotis	Ardeotis_kori
Dendrocygna_viduata	7060682.0	13114	captive	herbivore	USA	Chordata	Aves	Anseriformes	Anatidae	Dendrocygna	Dendrocygna_viduata
Acryllium_vulturinum	13096968.0	13114	captive	omnivore	USA	Chordata	Aves	Galliformes	Numididae	Acryllium	Acryllium_vulturinum
Grus_americana	25151286.0	13114	captive	omnivore	USA	Chordata	Aves	Gruiformes	Gruidae	Grus	Grus_americana
Pteronura_brasiliensis	74786.0	13114	captive	carnivore	USA	Chordata	Mammalia	Carnivora	Mustelidae	Pteronura	Pteronura_brasiliensis
Aonyx_cinerea	380464.0	13114	captive	carnivore	USA	Chordata	Mammalia	Carnivora	Mustelidae	Aonyx	Aonyx_cinerea
Trichechus_manatus	27945471.0	13114	captive	herbivore	USA	Chordata	Mammalia	Sirenia	Trichechidae	Trichechus	Trichechus_manatus_latirostris
Zamenis_longissimus	2090538.0	13881	wild	carnivore	Austria	Chordata	Reptilia	Squamata	Colubridae	Zamenis	Zamenis_longissimus
Syncerus_caffer	11153206.0	13881	wild	herbivore	Tanzania	Chordata	Mammalia	Artiodactyla	Bovidae	Syncerus	Syncerus_caffer
Rana_dalmatina	2427924.0	13881	wild	carnivore	Austria	Chordata	Amphibia	Anura	Ranidae	Rana	Rana_dalmatina
Capra_ibex	12887311.333333334	13881	captive_wild	herbivore	Austria	Chordata	Mammalia	Artiodactyla	Bovidae	Capra	Capra_ibex
Sorex_alpinus	6480010.0	13881	wild	carnivore	Austria	Chordata	Mammalia	Eulipotyphla	Soricidae	Sorex	Sorex_alpinus
Salamandra_atra	605706.0	13881	wild	insectivore	Austria	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	Salamandra_atra
Camelus_dromedarius	6776790.0	13881	captive	herbivore	Austria	Chordata	Mammalia	Artiodactyla	Camelidae	Camelus	Camelus_dromedarius
Canis_lupus	2175555.0	13881	captive_wild	carnivore	Austria_Mongolia	Chordata	Mammalia	Carnivora	Canidae	Canis	Canis_lupus_arctosCanis_lupus_familiarisCanis_lupus
Aspius_aspius	1269350.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Cypriniformes	Leuciscidae	Leuciscus	Aspius_aspius
Tachyglossus_aculeatus	12228852.0	13881	wild	carnivore	Australia	Chordata	Mammalia	Monotremata	Tachyglossidae	Tachyglossus	Tachyglossus_aculeatus
Branta_leucopsis	32901744.0	13881	wild	herbivore	Germany	Chordata	Aves	Anseriformes	Anatidae	Branta	Branta_leucopsis
Martes_foina	1426869.0	13881	wild	carnivore	Austria	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes_foina
Lyrurus_tetrix	2249806.0	13881	wild	herbivore	Austria	Chordata	Aves	Galliformes	Phasianidae	Lyrurus	Lyrurus_tetrix
Cricetus_cricetus	5924700.0	13881	wild	omnivore	Austria	Chordata	Mammalia	Rodentia	Cricetidae	Cricetus	Cricetus_cricetus
Turdus_merula	1070842.0	13881	wild	omnivore	Hungary	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus_merula
Sylvia_atricapilla	7907232.0	13881	wild	omnivore	Austria	Chordata	Aves	Passeriformes	Sylviidae	Sylvia	Sylvia_atricapilla
Alburnus_alburnus	4021410.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Cypriniformes	Leuciscidae	Alburnus	Alburnus_alburnus
Connochaetes_taurinus	7737041.333333333	13881	captive_wild	herbivore	Austria_SouthAfrica	Chordata	Mammalia	Artiodactyla	Bovidae	Connochaetes	Connochaetes_taurinus
Salvelinus_fontinalis	154434.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salvelinus	Salvelinus_fontinalis
Ursus_arctos	15172042.0	13881	captive_wild	carnivore	Austria	Chordata	Mammalia	Carnivora	Ursidae	Ursus	Ursus_arctos
Salmo_trutta	1499797.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salmo	Salmo_trutta_farioSalmo_trutta
Bradypus_variegatus	4681548.0	13881	wild	herbivore	Nicaragua	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus_variegatus
Corvus_corone	338128.0	13881	wild	carnivore	Austria	Chordata	Aves	Passeriformes	Corvidae	Corvus	Corvus_corone
Pogona_vitticeps	5988190.0	13881	wild	carnivore	Australia	Chordata	Reptilia	Squamata	Agamidae	Pogona	Pogona_vitticeps
Papio_ursinus	6094488.0	13881	wild	omnivore	SouthAfrica	Chordata	Mammalia	Primates	Cercopithecidae	Papio	Papio_ursinus
Rupicapra_rupicapra	5122552.0	13881	wild	herbivore	Austria	Chordata	Mammalia	Artiodactyla	Bovidae	Rupicapra	Rupicapra_rupicapra
Acanthiza_uropygialis	1199780.0	13881	wild	carnivore	Australia	Chordata	Aves	Passeriformes	Acanthizidae	Acanthiza	Acanthiza_uropygialis
Gazella_bennettii	2064676.0	13881	wild	herbivore	Iran	Chordata	Mammalia	Artiodactyla	Bovidae	Gazella	Gazella_bennettii
Abramis_brama	89093932.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Cypriniformes	Leuciscidae	Abramis	Abramis_brama
Trichosurus_vulpecula	7423163.0	13881	wild	herbivore	Australia	Chordata	Mammalia	Diprotodontia	Phalangeridae	Trichosurus	Trichosurus_vulpecula
Cyprinus_carpio	1599905.0	13881	wild	omnivore	Austria	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Cyprinus	Cyprinus_carpio
Rana_temporaria	2047794.0	13881	wild	carnivore	Austria	Chordata	Amphibia	Anura	Ranidae	Rana	Rana_temporaria
Hemidactylus_frenatus	6380449.0	13881	wild	carnivore	VietNam	Chordata	Reptilia	Squamata	Gekkonidae	Hemidactylus	Hemidactylus_frenatus
Falco_tinnunculus	2529742.0	13881	wild	carnivore	Hungary	Chordata	Aves	Falconiformes	Falconidae	Falco	Falco_tinnunculus
Pica_pica	3600596.0	13881	wild	omnivore	Hungary	Chordata	Aves	Passeriformes	Corvidae	Pica	Pica_pica
Pipistrellus_pipistrellus	4491290.0	13881	wild	carnivore	Hungary	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus_pipistrellus
Anas_crecca	781690.0	13881	wild	herbivore	Austria	Chordata	Aves	Anseriformes	Anatidae	Anas	Anas_crecca
Bufo_bufo	1791540.0	13881	wild	carnivore	Austria	Chordata	Amphibia	Anura	Bufonidae	Bufo	Bufo_bufo
Chondrostoma_nasus	5183938.0	13881	wild	omnivore	Austria	Chordata	Actinopterygii	Cypriniformes	Leuciscidae	Chondrostoma	Chondrostoma_nasus
Scardinius_erythrophthalmus	2140332.0	13881	wild	omnivore	Austria	Chordata	Actinopterygii	Cypriniformes	Leuciscidae	Scardinius	Scardinius_erythrophthalmus
Testudo_hermanni	6546678.0	13881	wild	herbivore	Croatia	Chordata	Reptilia	Testudines	Testudinidae	Testudo	Testudo_hermanni_boettgeri
Trachypithecus_delacouri	3919514.0	13881	wild	herbivore	VietNam	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus_delacouri
Heteromys_desmarestianus	16691832.0	13881	wild	herbivore	CostaRica	Chordata	Mammalia	Rodentia	Heteromyidae	Heteromys	Heteromys_desmarestianus
Felis_catus	2342832.0	13881	captive	carnivore	Austria	Chordata	Mammalia	Carnivora	Felidae	Felis	Felis_catus
Anser_anser	6701340.0	13881	wild	herbivore	Austria_Germany	Chordata	Aves	Anseriformes	Anatidae	Anser	Anser_anser
Prunella_modularis	7608288.0	13881	wild	omnivore	Austria	Chordata	Aves	Passeriformes	Passeridae	Prunella	Prunella_modularis
Melanomys_caliginosus	2384836.0	13881	wild	omnivore	CostaRica	Chordata	Mammalia	Rodentia	Cricetidae	Melanomys	Melanomys_caliginosus
Macropus_giganteus	8106464.0	13881	wild	herbivore	Australia	Chordata	Mammalia	Diprotodontia	Macropodidae	Macropus	Macropus_giganteus
Cervus_canadensis	9587942.0	13881	captive	herbivore	Austria	Chordata	Mammalia	Artiodactyla	Cervidae	Cervus	Cervus_canadensis_canadensis
Meles_meles	5815098.0	13881	wild	omnivore	Austria	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles_meles
Castor_fiber	1995946.0	13881	wild	herbivore	Austria	Chordata	Mammalia	Rodentia	Castoridae	Castor	Castor_fiber
Phylloscopus_collybita	52776036.0	13881	wild	carnivore	Austria	Chordata	Aves	Passeriformes	Phylloscopidae	Phylloscopus	Phylloscopus_collybita
Lynx_lynx	2016434.0	13881	captive_wild	carnivore	Austria	Chordata	Mammalia	Carnivora	Felidae	Lynx	Lynx_lynx
Caprimulgus_europaeus	2725286.0	13881	wild	carnivore	Austria	Chordata	Aves	Caprimulgiformes	Caprimulgidae	Caprimulgus	Caprimulgus_europaeus
Sciurus_vulgaris	941482.0	13881	wild	herbivore	Austria	Chordata	Mammalia	Rodentia	Sciuridae	Sciurus	Sciurus_vulgaris
Lutra_lutra	267989.0	13881	wild	carnivore	Austria	Chordata	Mammalia	Carnivora	Mustelidae	Lutra	Lutra_lutra
Accipiter_nisus	8342298.0	13881	wild	carnivore	Hungary	Chordata	Aves	Accipitriformes	Accipitridae	Accipiter	Accipiter_nisus
Acrocephalus_scirpaceus	9779756.0	13881	captive	carnivore	Austria	Chordata	Aves	Passeriformes	Sylviidae	Acrocephalus	Acrocephalus_scirpaceus
Scolopax_rusticola	9842398.0	13881	wild	carnivore	Hungary	Chordata	Aves	Charadriiformes	Scolopacidae	Scolopax	Scolopax_rusticola
Squalius_cephalus	3797573.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Cypriniformes	Leuciscidae	Squalius	Squalius_cephalus
Natrix_natrix	4452600.0	13881	wild	carnivore	Austria	Chordata	Reptilia	Squamata	Colubridae	Natrix	Natrix_natrix
Bufotes_viridis	2568992.0	13881	wild	carnivore	Austria	Chordata	Amphibia	Anura	Bufonidae	Bufotes	Bufotes_viridis
Carduelis_chloris	14414586.0	13881	wild	herbivore	Hungary	Chordata	Aves	Passeriformes	Fringillidae	Chloris	Chloris_chloris
Lepus_europaeus	7671056.666666667	13881	wild	herbivore	Austria	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus	Lepus_europaeus
Marmota_marmota	9463110.0	13881	wild	herbivore	Austria	Chordata	Mammalia	Rodentia	Sciuridae	Marmota	Marmota_marmota
Perca_fluviatilis	609468.0	13881	wild	carnivore	Austria	Chordata	Actinopterygii	Perciformes	Percidae	Perca	Perca_fluviatilis
Martes_martes	829960.0	13881	wild	carnivore	Austria	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes_martes
Mustela_putorius	149196.0	13881	wild	carnivore	Austria	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela_putorius
Spermophilus_citellus	4375447.333333333	13881	captive_wild	omnivore	Austria	Chordata	Mammalia	Rodentia	Sciuridae	Spermophilus	Spermophilus_citellus
Apodemus_sylvaticus	18440454.0	13881	wild	herbivore	Austria	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus_sylvaticus
Dama_dama	5963241.0	13881	wild	herbivore	Austria	Chordata	Mammalia	Artiodactyla	Cervidae	Dama	Dama_dama
Glis_glis	2661307.0	13881	captive_wild	herbivore	Austria	Chordata	Mammalia	Rodentia	Gliridae	Glis	Glis_glis
Psammomys_obesus	4223598.0	13881	captive	herbivore	Austria	Chordata	Mammalia	Rodentia	Muridae	Psammomys	Psammomys_obesus
Reithrodontomys_fulvescens	5411876.0	13881	wild	herbivore	CostaRica	Chordata	Mammalia	Rodentia	Cricetidae	Reithrodontomys	Reithrodontomys_fulvescens
Eolophus_roseicapillus	1031198.0	13881	wild	herbivore	Australia	Chordata	Aves	Psittaciformes	Cacatuidae	Eolophus	Eolophus_roseicapilla
Eliomys_quercinus	3633793.3333333335	13881	captive_wild	omnivore	Austria	Chordata	Mammalia	Rodentia	Gliridae	Eliomys	Eliomys_quercinus
Bos_frontalis	16875547.0	13881	wild	herbivore	VietNam	Chordata	Mammalia	Artiodactyla	Bovidae	Bos	Bos_frontalis
Capra_hircus	9445440.0	13881	captive	herbivore	Austria	Chordata	Mammalia	Artiodactyla	Bovidae	Capra	Capra_hircus
